Issue Type,Epic Name,Epic Link,Parent,Summary,Description,Sprint,Priority,Status
Epic,Full-Stack Platform Foundation,,,Full-Stack Platform Foundation,"FastAPI + PostgreSQL + React app built on top of the existing SQL/Power BI pipeline.",,High,Done
Story,,Full-Stack Platform Foundation,,Backend API foundation,"FastAPI + SQLAlchemy + PostgreSQL; /health, /api/sites, /api/kpis, /api/meta/filters.",Sprint 1 - Platform Foundation,High,Done
Sub-task,,,Backend API foundation,Set up FastAPI app structure config and DB session,"app/main.py, app/core/config.py, app/core/database.py",Sprint 1 - Platform Foundation,Medium,Done
Sub-task,,,Backend API foundation,Define Site model and Pydantic schemas,"app/models/site.py, app/schemas/site.py",Sprint 1 - Platform Foundation,Medium,Done
Sub-task,,,Backend API foundation,Implement filtering and KPI aggregation service layer,"app/services/portfolio_service.py",Sprint 1 - Platform Foundation,Medium,Done
Story,,Full-Stack Platform Foundation,,Database seed pipeline,"Port SQL/01-03 cleaning rules into Python (app/db/seed.py), no staging table needed.",Sprint 1 - Platform Foundation,High,Done
Sub-task,,,Database seed pipeline,Port TRIM INITCAP region and LGA cleaning rules from SQL to seed.py,"Mirrors SQL/01_create_raw_table.sql through SQL/03_insert_cleaned_data.sql.",Sprint 1 - Platform Foundation,Medium,Done
Sub-task,,,Database seed pipeline,Add title and short_title back into the schema for UI display,"Present in raw CSV/staging_sites but dropped by the original SQL/02 clean table.",Sprint 1 - Platform Foundation,Medium,Done
Story,,Full-Stack Platform Foundation,,React frontend - Dashboard Sites and Site detail,"Dashboard (KPIs + charts), Sites (filter + paginate), Site detail page.",Sprint 1 - Platform Foundation,High,Done
Sub-task,,,React frontend - Dashboard Sites and Site detail,Dashboard page with KPI cards and breakdown charts,"DashboardPage.tsx, BreakdownChart.tsx",Sprint 1 - Platform Foundation,Medium,Done
Sub-task,,,React frontend - Dashboard Sites and Site detail,Sites page with filter bar and paginated table,"SitesPage.tsx, SitesTable.tsx",Sprint 1 - Platform Foundation,Medium,Done
Sub-task,,,React frontend - Dashboard Sites and Site detail,Site detail page,"SiteDetailPage.tsx",Sprint 1 - Platform Foundation,Medium,Done
Story,,Full-Stack Platform Foundation,,Local dev environment with Docker Compose,"docker-compose.yml: Postgres + backend with hot reload.",Sprint 1 - Platform Foundation,Medium,Done
Epic,Production Readiness,,,Production Readiness,"Polish, production Docker build, and CI.",,High,Done
